1,98896 Shelley Parkway,Abilene,Texas,79605
2,71 Coolidge Center,Fort Lauderdale,Florida,33310
3,1006 Blackbird Terrace,Fort Wayne,Indiana,46814
4,22604 Miller Street,Harrisburg,Pennsylvania,17121
5,49 Warbler Way,Peoria,Illinois,61656
6,413 Roth Center,Richmond,Virginia,23225
7,23007 Macpherson Hill,Tampa,Florida,33661
8,5 Namekagon Circle,San Francisco,California,94121
9,1958 Coleman Place,Fresno,California,93786
10,957 John Wall Street,Knoxville,Tennessee,37924
11,7 Karstens Hill,Montgomery,Alabama,36119
12,4 Kensington Junction,South Bend,Indiana,46620
13,340 International Junction,Austin,Texas,78703
14,4 Stone Corner Hill,Washington,District of Columbia,20088
15,4088 3rd Center,Atlanta,Georgia,30328
16,5 Old Gate Parkway,San Francisco,California,94154
17,23 Sachs Lane,Clearwater,Florida,34620
18,6115 3rd Point,Worcester,Massachusetts,01610
19,5 Arapahoe Way,Norman,Oklahoma,73071
20,569 Sunfield Point,Visalia,California,93291
21,891 Chinook Hill,Saint Louis,Missouri,63143
22,20301 Prairie Rose Lane,New York City,New York,10131
23,5739 Prairie Rose Avenue,Las Vegas,Nevada,89110
24,505 Cody Street,Virginia Beach,Virginia,23471
25,371 Dunning Place,Pittsburgh,Pennsylvania,15279
26,083 Vera Drive,Worcester,Massachusetts,01605
27,02329 Lunder Trail,Panama City,Florida,32412
28,75504 Brown Hill,Stamford,Connecticut,06922
29,82031 Lerdahl Pass,Las Vegas,Nevada,89193
30,5 New Castle Drive,Columbus,Ohio,43231
31,836 Killdeer Place,Washington,District of Columbia,20041
32,244 Delladonna Terrace,Roanoke,Virginia,24034
33,2255 Brickson Park Plaza,Houston,Texas,77250
34,4158 Ohio Terrace,Harrisburg,Pennsylvania,17126
35,51499 Saint Paul Circle,New Bedford,Massachusetts,02745
36,9 Saint Paul Road,San Antonio,Texas,78245
37,24 Debra Way,Durham,North Carolina,27710
38,57200 Anniversary Center,Atlanta,Georgia,31132
39,4 Kedzie Center,Silver Spring,Maryland,20904
40,5 Transport Point,Youngstown,Ohio,44511
41,1 Clarendon Plaza,Memphis,Tennessee,38114
42,78629 Redwing Way,Florence,South Carolina,29505
43,99 Hooker Parkway,Pittsburgh,Pennsylvania,15225
44,0096 Del Mar Alley,San Jose,California,95155
45,5493 Barnett Plaza,Saint Paul,Minnesota,55127
46,08 Acker Center,Odessa,Texas,79769
47,3 Doe Crossing Way,Dallas,Texas,75310
48,21 David Plaza,Topeka,Kansas,66667
49,457 Oxford Alley,Boston,Massachusetts,02114
50,03 La Follette Court,Oklahoma City,Oklahoma,73147
51,963 Scoville Junction,Lincoln,Nebraska,68583
52,1 Armistice Terrace,El Paso,Texas,88579
53,1 Pine View Place,Santa Fe,New Mexico,87592
54,89 School Hill,Jamaica,New York,11447
55,0063 Thompson Terrace,Erie,Pennsylvania,16522
56,33584 Moose Circle,Houston,Texas,77255
57,7755 Debs Center,San Francisco,California,94177
58,763 Hudson Place,Baton Rouge,Louisiana,70894
59,9 Sage Plaza,Dallas,Texas,75358
60,71 Myrtle Way,Dayton,Ohio,45408
61,435 2nd Hill,Tyler,Texas,75710
62,29753 Cambridge Park,Lynchburg,Virginia,24503
63,87535 Glendale Place,Dayton,Ohio,45432
64,75939 Coleman Place,Fort Lauderdale,Florida,33345
65,031 Sutteridge Avenue,Oakland,California,94616
66,97 Anderson Terrace,Akron,Ohio,44393
67,5 Farragut Trail,Santa Rosa,California,95405
68,9 Clove Hill,Kansas City,Missouri,64153
69,4 Fuller Pass,Santa Fe,New Mexico,87505
70,0 New Castle Place,Montgomery,Alabama,36109
71,14001 Vera Trail,Port Charlotte,Florida,33954
72,69 Laurel Terrace,Kansas City,Missouri,64193
73,35779 Mifflin Park,Shawnee Mission,Kansas,66220
74,7123 Porter Alley,Jackson,Mississippi,39236
75,3 Coleman Park,Milwaukee,Wisconsin,53210
76,1 Village Green Hill,Austin,Texas,78769
77,09355 Milwaukee Junction,Brooklyn,New York,11236
78,3382 Carey Way,Cincinnati,Ohio,45238
79,6 7th Hill,Salem,Oregon,97312
80,2 Crest Line Trail,Peoria,Illinois,61605
81,51 Northview Road,Sacramento,California,95865
82,13062 Steensland Place,Los Angeles,California,90040
83,189 Onsgard Court,Midland,Texas,79705
84,7986 Transport Way,Silver Spring,Maryland,20910
85,0 Sunbrook Avenue,Raleigh,North Carolina,27626
86,26996 Roth Point,Inglewood,California,90305
87,2401 Anthes Hill,Albany,New York,12237
88,2469 Bowman Hill,Los Angeles,California,90081
89,122 Holy Cross Avenue,Spokane,Washington,99205
90,24322 Hoard Circle,San Bernardino,California,92410
91,3 Gateway Center,Colorado Springs,Colorado,80951
92,356 Green Ridge Point,Fort Lauderdale,Florida,33325
93,9 Sunbrook Point,Madison,Wisconsin,53705
94,5 Golf Course Avenue,Terre Haute,Indiana,47812
95,0358 Arapahoe Hill,Washington,District of Columbia,20436
96,41087 Cascade Avenue,Salt Lake City,Utah,84130
97,26 Hermina Lane,Tucson,Arizona,85725
98,0 Superior Avenue,Washington,District of Columbia,20067
99,58656 North Point,Jacksonville,Florida,32225
100,0 Golf Course Center,Dallas,Texas,75210
